Customer ID,Recency,Frequency,Monetary,Recency_score,Frequency_score,Monetary_score,RFM_SCORE,Segment
12557,15,33,11985,4,3,5,435,Potential Loyalists
12558,6,11,266,5,1,2,512,New Customers
12559,309,21,552,1,2,3,123,Hibernating
12560,4,105,2092,5,4,5,545,Champions
12561,301,16,230,1,2,1,121,Hibernating
12562,7,168,3697,5,5,5,555,Champions
12564,260,21,443,1,2,2,122,Hibernating
12565,287,9,140,1,1,1,111,Hibernating
12566,85,19,343,2,2,2,222,Hibernating
12567,21,446,9196,4,5,5,455,Loyal Customers
12569,1,188,4054,5,5,5,555,Champions
12571,38,34,507,3,3,3,333,Need Attention
12572,7,60,995,5,4,4,544,Champions
12573,226,28,146,1,2,1,121,Hibernating
12574,314,11,213,1,1,1,111,Hibernating
12576,34,88,1276,3,4,4,344,Loyal Customers
12577,34,146,558,3,5,3,353,Loyal Customers
12578,20,114,2748,4,4,5,445,Loyal Customers
12579,77,29,426,2,2,2,222,Hibernating
12580,245,24,405,1,2,2,122,Hibernating
12581,38,15,192,3,2,1,321,About to Sleep
12582,237,22,502,1,2,3,123,Hibernating
12583,1,247,7187,5,5,5,555,Champions
12584,2,96,2283,5,4,5,545,Champions
12585,233,87,2005,1,4,5,145,At Risk
12586,16,11,190,4,1,1,411,Promising
12587,6,4,142,5,1,1,511,New Customers
12588,38,10,210,3,1,1,311,About to Sleep
12589,27,35,634,4,3,3,433,Potential Loyalists
12590,210,68,9845,1,4,5,145,At Risk
12591,316,26,440,1,2,2,122,Hibernating
12592,91,18,434,2,2,2,222,Hibernating
12593,107,21,408,2,2,2,222,Hibernating
12594,36,118,3292,3,4,5,345,Loyal Customers
12596,50,27,605,3,2,3,323,About to Sleep
12597,18,206,3698,4,5,5,455,Loyal Customers
12598,8,132,2964,5,5,5,555,Champions
12599,28,62,1017,4,4,4,444,Loyal Customers
12600,27,64,2571,4,4,5,445,Loyal Customers
12601,188,28,567,1,2,3,123,Hibernating
12602,57,12,149,3,1,1,311,About to Sleep
12603,20,2,739,4,1,3,413,Promising
12604,78,16,247,2,2,2,222,Hibernating
12607,59,101,1540,3,4,4,344,Loyal Customers
12609,77,60,1096,2,4,4,244,At Risk
12610,21,106,2050,4,4,5,445,Loyal Customers
12611,51,65,1166,3,4,4,344,Loyal Customers
12612,73,19,699,2,2,3,223,Hibernating
12613,56,153,3273,3,5,5,355,Loyal Customers
12614,276,20,305,1,2,2,122,Hibernating
12615,1,105,2244,5,4,5,545,Champions
12616,94,32,699,2,3,3,233,At Risk
12617,28,41,331,4,3,2,432,Potential Loyalists
12618,20,11,171,4,1,1,411,Promising
12619,15,90,3616,4,4,5,445,Loyal Customers
12620,13,92,1297,4,4,4,444,Loyal Customers
12621,0,467,13488,5,5,5,555,Champions
12622,231,11,175,1,1,1,111,Hibernating
12623,275,18,297,1,2,2,122,Hibernating
12624,105,38,624,2,3,3,233,At Risk
12625,210,86,2656,1,4,5,145,At Risk
12626,22,294,6494,4,5,5,455,Loyal Customers
12627,9,230,4368,5,5,5,555,Champions
12628,3,41,771,5,3,3,533,Potential Loyalists
12630,8,64,1237,5,4,4,544,Champions
12631,56,31,624,3,3,3,333,Need Attention
12633,57,101,2112,3,4,5,345,Loyal Customers
12635,88,101,1642,2,4,4,244,At Risk
12637,66,382,5822,3,5,5,355,Loyal Customers
12638,32,39,657,3,3,3,333,Need Attention
12639,237,22,478,1,2,3,123,Hibernating
12640,22,53,1154,4,3,4,434,Potential Loyalists
12641,114,10,182,2,1,1,211,Hibernating
12642,24,47,994,4,3,4,434,Potential Loyalists
12643,127,24,3339,2,2,5,225,Hibernating
12644,128,31,463,2,3,2,232,At Risk
12645,32,73,1746,3,4,4,344,Loyal Customers
12646,3,45,1331,5,3,4,534,Potential Loyalists
12647,21,121,3674,4,5,5,455,Loyal Customers
12648,153,21,310,2,2,2,222,Hibernating
12649,106,31,609,2,3,3,233,At Risk
12650,2,20,307,5,2,2,522,Potential Loyalists
12651,333,9,109,1,1,1,111,Hibernating
12652,330,48,900,1,3,3,133,At Risk
12653,147,43,2192,2,3,5,235,At Risk
12654,9,38,584,5,3,3,533,Potential Loyalists
12656,16,126,3998,4,5,5,455,Loyal Customers
12657,10,47,1621,5,3,4,534,Potential Loyalists
12658,17,36,672,4,3,3,433,Potential Loyalists
12659,28,5,91,4,1,1,411,Promising
12660,10,13,238,5,1,2,512,New Customers
12662,-1,230,3742,5,5,5,555,Champions
12664,7,37,4874,5,3,5,535,Potential Loyalists
12665,323,3,63,1,1,1,111,Hibernating
12667,57,33,604,3,3,3,333,Need Attention
12668,10,161,3736,5,5,5,555,Champions
12669,149,101,2705,2,4,5,245,At Risk
12670,9,92,2957,5,4,5,545,Champions
12672,328,10,221,1,1,1,111,Hibernating
12673,4,42,589,5,3,3,533,Potential Loyalists
12674,37,83,1942,3,4,4,344,Loyal Customers
12676,23,45,1316,4,3,4,434,Potential Loyalists
12678,41,165,17571,3,5,5,355,Loyal Customers
12679,57,48,1091,3,3,4,334,Need Attention
12680,-1,53,860,5,3,3,533,Potential Loyalists
12681,13,638,13503,4,5,5,455,Loyal Customers
12682,2,524,12023,5,5,5,555,Champions
12683,3,344,8352,5,5,5,555,Champions
12684,6,105,2245,5,4,5,545,Champions
12685,27,157,2799,4,5,5,455,Loyal Customers
12686,370,7,88,1,1,1,111,Hibernating
12688,112,171,4802,2,5,5,255,Can't Loose
12689,24,72,1217,4,4,4,444,Loyal Customers
12690,204,16,381,1,2,2,122,Hibernating
12691,27,32,1025,4,3,4,434,Potential Loyalists
12693,126,39,835,2,3,3,233,At Risk
12694,69,37,857,3,3,3,333,Need Attention
12695,6,27,567,5,2,3,523,Potential Loyalists
12697,27,41,937,4,3,4,434,Potential Loyalists
12700,6,268,4832,5,5,5,555,Champions
12701,78,53,769,2,3,3,233,At Risk
12702,18,12,214,4,1,1,411,Promising
12703,70,21,275,3,2,2,322,About to Sleep
12704,6,88,2295,5,4,5,545,Champions
12705,14,334,6739,4,5,5,455,Loyal Customers
12707,290,33,591,1,3,3,133,At Risk
12708,28,157,2645,4,5,5,455,Loyal Customers
12709,14,207,9653,4,5,5,455,Loyal Customers
12710,95,77,1121,2,4,4,244,At Risk
12712,27,133,4343,4,5,5,455,Loyal Customers
12713,-1,38,834,5,3,3,533,Potential Loyalists
12714,8,259,4600,5,5,5,555,Champions
12715,105,20,332,2,2,2,222,Hibernating
12716,2,69,1021,5,4,4,544,Champions
12717,150,55,1007,2,3,4,234,At Risk
12718,70,19,232,3,2,1,321,About to Sleep
12719,4,39,632,5,3,3,533,Potential Loyalists
12720,1,354,5610,5,5,5,555,Champions
12721,30,161,2577,4,5,5,455,Loyal Customers
12722,84,53,973,2,3,4,234,At Risk
12723,2,69,690,5,4,3,543,Champions
12724,4,53,1005,5,3,4,534,Potential Loyalists
12725,370,24,420,1,2,2,122,Hibernating
12726,27,124,2571,4,5,5,455,Loyal Customers
12727,9,139,3928,5,5,5,555,Champions
12728,70,46,816,3,3,3,333,Need Attention
12729,112,26,440,2,2,2,222,Hibernating
12731,22,274,18808,4,5,5,455,Loyal Customers
12732,178,12,231,2,1,1,211,Hibernating
12733,233,22,372,1,2,2,122,Hibernating
12734,351,4,108,1,1,1,111,Hibernating
12735,314,43,756,1,3,3,133,At Risk
12736,331,4,232,1,1,1,111,Hibernating
12738,371,11,152,1,1,1,111,Hibernating
12739,77,38,993,2,3,4,234,At Risk
12740,62,27,416,3,2,2,322,About to Sleep
12743,133,131,473,2,5,3,253,Can't Loose
12744,50,222,21184,3,5,5,355,Loyal Customers
12747,1,103,4143,5,4,5,545,Champions
12748,-1,4412,30690,5,5,5,555,Champions
12749,2,199,3995,5,5,5,555,Champions
12750,127,15,269,2,2,2,222,Hibernating
12752,80,53,4347,2,3,5,235,At Risk
12753,21,197,21360,4,5,5,455,Loyal Customers
12754,234,63,2980,1,4,5,145,At Risk
12755,279,4,3809,1,1,5,115,Hibernating
12756,85,4,111,2,1,1,211,Hibernating
12757,14,364,7638,4,5,5,455,Loyal Customers
12758,115,97,2761,2,4,5,245,At Risk
12759,51,95,1491,3,4,4,344,Loyal Customers
12762,6,69,1868,5,4,4,544,Champions
12763,137,18,491,2,2,3,223,Hibernating
12764,315,45,1677,1,3,4,134,At Risk
12766,2,310,6843,5,5,5,555,Champions
12769,237,32,1128,1,3,4,134,At Risk
12770,209,12,1348,1,1,4,114,Hibernating
12772,58,55,866,3,3,3,333,Need Attention
12775,16,66,1356,4,4,4,444,Loyal Customers
12778,18,50,806,4,3,3,433,Potential Loyalists
12779,36,149,3916,3,5,5,355,Loyal Customers
12781,62,25,816,3,2,3,323,About to Sleep
12782,3,103,2286,5,4,5,545,Champions
12783,1,84,2189,5,4,5,545,Champions
12784,8,57,502,5,3,3,533,Potential Loyalists
12785,363,14,305,1,1,2,112,Hibernating
12787,8,20,456,5,2,2,522,Potential Loyalists
12789,64,4,89,3,1,1,311,About to Sleep
12790,191,21,315,1,2,2,122,Hibernating
12791,372,2,192,1,1,1,111,Hibernating
12792,255,25,392,1,2,2,122,Hibernating
12793,333,24,538,1,2,3,123,Hibernating
12794,52,45,841,3,3,3,333,Need Attention
12795,17,14,425,4,1,2,412,Promising
12797,364,13,250,1,1,2,112,Hibernating
12798,9,8,6973,5,1,5,515,New Customers
12802,185,25,420,1,2,2,122,Hibernating
12808,35,28,468,3,2,3,323,About to Sleep
12809,176,25,477,2,2,3,223,Hibernating
12811,259,31,500,1,3,3,133,At Risk
12812,43,15,225,3,2,1,321,About to Sleep
12814,100,2,125,2,1,1,211,Hibernating
12815,146,47,1040,2,3,4,234,At Risk
12816,94,29,557,2,2,3,223,Hibernating
12817,280,4,165,1,1,1,111,Hibernating
12818,260,14,1537,1,1,4,114,Hibernating
12820,2,59,916,5,4,4,544,Champions
12821,213,6,90,1,1,1,111,Hibernating
12822,69,46,926,3,3,4,334,Need Attention
12823,73,5,1758,2,1,4,214,Hibernating
12824,58,25,385,3,2,2,322,About to Sleep
12826,1,91,1430,5,4,4,544,Champions
12827,4,25,417,5,2,2,522,Potential Loyalists
12828,1,56,990,5,3,4,534,Potential Loyalists
12829,335,11,286,1,1,2,112,Hibernating
12830,36,38,6792,3,3,5,335,Need Attention
12831,261,9,212,1,1,1,111,Hibernating
12832,31,27,374,4,2,2,422,Potential Loyalists
12833,144,24,406,2,2,2,222,Hibernating
12834,281,18,301,1,2,2,122,Hibernating
12836,58,174,2512,3,5,5,355,Loyal Customers
12837,172,12,125,2,1,1,211,Hibernating
12838,32,120,610,3,4,3,343,Loyal Customers
12839,1,314,5447,5,5,5,555,Champions
12840,142,113,2682,2,4,5,245,At Risk
12841,3,414,3780,5,5,5,555,Champions
12842,69,34,1104,3,3,4,334,Need Attention
12843,64,103,1643,3,4,4,344,Loyal Customers
12844,28,52,294,4,3,2,432,Potential Loyalists
12845,266,27,340,1,2,2,122,Hibernating
12847,21,84,802,4,4,3,443,Loyal Customers
12849,30,48,982,4,3,4,434,Potential Loyalists
12851,95,47,109,2,3,1,231,At Risk
12852,293,17,301,1,2,2,122,Hibernating
12853,133,78,1926,2,4,4,244,At Risk
12854,77,109,1260,2,4,4,244,At Risk
12855,371,3,37,1,1,1,111,Hibernating
12856,6,311,2010,5,5,5,555,Champions
12857,209,46,1084,1,3,4,134,At Risk
12863,51,5,520,3,1,3,313,About to Sleep
12864,137,3,146,2,1,1,211,Hibernating
12865,25,95,1524,4,4,4,444,Loyal Customers
12866,282,26,546,1,2,3,123,Hibernating
12867,25,534,3757,4,5,5,455,Loyal Customers
12868,184,107,1559,1,4,4,144,At Risk
12871,83,11,378,2,1,2,212,Hibernating
12872,325,66,563,1,4,3,143,At Risk
12873,281,4,374,1,1,2,112,Hibernating
12875,142,2,342,2,1,2,212,Hibernating
12876,56,85,2178,3,4,5,345,Loyal Customers
12877,2,154,1461,5,5,4,554,Champions
12878,235,47,837,1,3,3,133,At Risk
12879,43,10,569,3,1,3,313,About to Sleep
12881,274,7,296,1,1,2,112,Hibernating
12882,8,13,1456,5,1,4,514,New Customers
12883,23,42,680,4,3,3,433,Potential Loyalists
12884,87,7,305,2,1,2,212,Hibernating
12885,62,71,1140,3,4,4,344,Loyal Customers
12886,66,82,1341,3,4,4,344,Loyal Customers
12888,213,5,352,1,1,2,112,Hibernating
12890,23,79,336,4,4,2,442,Loyal Customers
12891,184,3,331,1,1,2,112,Hibernating
12893,29,31,160,4,3,1,431,Potential Loyalists
12895,41,22,365,3,2,2,322,About to Sleep
12897,203,4,215,1,1,1,111,Hibernating
12901,7,116,17611,5,4,5,545,Champions
12902,263,10,136,1,1,1,111,Hibernating
12904,17,71,453,4,4,2,442,Loyal Customers
12906,10,63,2892,5,4,5,545,Champions
12908,175,2,750,2,1,3,213,Hibernating
12909,38,91,2134,3,4,5,345,Loyal Customers
12910,22,75,3052,4,4,5,445,Loyal Customers
12912,1,24,1652,5,2,4,524,Potential Loyalists
12913,3,50,2465,5,3,5,535,Potential Loyalists
12915,147,22,350,2,2,2,222,Hibernating
12916,137,103,2890,2,4,5,245,At Risk
12917,127,2,594,2,1,3,213,Hibernating
12919,7,50,1316,5,3,4,534,Potential Loyalists
12920,16,27,144,4,2,1,421,Potential Loyalists
12921,8,720,16286,5,5,5,555,Champions
12922,160,28,395,2,2,2,222,Hibernating
12923,63,28,157,3,2,1,321,About to Sleep
12924,87,30,921,2,3,4,234,At Risk
12925,3,45,678,5,3,3,533,Potential Loyalists
12928,34,84,2029,3,4,5,345,Loyal Customers
12929,310,8,113,1,1,1,111,Hibernating
12930,77,25,403,2,2,2,222,Hibernating
12931,20,82,42028,4,4,5,445,Loyal Customers
12933,23,106,545,4,4,3,443,Loyal Customers
12935,1,129,2097,5,5,5,555,Champions
12936,16,62,1040,4,4,4,444,Loyal Customers
12937,14,120,1438,4,4,4,444,Loyal Customers
12938,24,9,108,4,1,1,411,Promising
12939,63,47,11571,3,3,5,335,Need Attention
12940,53,96,850,3,4,3,343,Loyal Customers
12942,130,70,635,2,4,3,243,At Risk
12944,34,30,593,3,3,3,333,Need Attention
12945,287,23,451,1,2,2,122,Hibernating
12947,142,97,1558,2,4,4,244,At Risk
12948,15,116,2014,4,4,5,445,Loyal Customers
12949,29,215,4078,4,5,5,455,Loyal Customers
12950,1,23,1839,5,2,4,524,Potential Loyalists
12951,7,63,1031,5,4,4,544,Champions
12952,4,79,1348,5,4,4,544,Champions
12953,8,17,322,5,2,2,522,Potential Loyalists
12955,0,180,4698,5,5,5,555,Champions
12956,305,19,93,1,2,1,121,Hibernating
12957,8,238,3910,5,5,5,555,Champions
12962,6,16,259,5,2,2,522,Potential Loyalists
12963,7,95,1811,5,4,4,544,Champions
12965,88,108,713,2,4,3,243,At Risk
12966,8,10,157,5,1,1,511,New Customers
12967,357,19,1653,1,2,4,124,Hibernating
12968,111,5,134,2,1,1,211,Hibernating
12970,6,129,336,5,5,2,552,Champions
12971,2,305,11078,5,5,5,555,Champions
12974,196,8,138,1,1,1,111,Hibernating
12976,210,22,733,1,2,3,123,Hibernating
12977,155,9,35,2,1,1,211,Hibernating
12980,156,20,7365,2,2,5,225,Hibernating
12981,28,20,363,4,2,2,422,Potential Loyalists
12982,241,28,381,1,2,2,122,Hibernating
12984,17,4,96,4,1,1,411,Promising
12985,-1,76,1205,5,4,4,544,Champions
12987,72,28,546,2,2,3,223,Hibernating
12988,291,83,454,1,4,2,142,At Risk
12989,2,64,6901,5,4,5,545,Champions
12990,30,13,401,4,1,2,412,Promising
12991,22,31,492,4,3,3,433,Potential Loyalists
12993,22,27,400,4,2,2,422,Potential Loyalists
12994,3,61,940,5,4,4,544,Champions
12995,84,3,211,2,1,1,211,Hibernating
12997,21,59,1197,4,4,4,444,Loyal Customers
12999,195,28,444,1,2,2,122,Hibernating
13000,105,31,517,2,3,3,233,At Risk
13001,3,337,9613,5,5,5,555,Champions
13002,317,7,118,1,1,1,111,Hibernating
13003,104,6,147,2,1,1,211,Hibernating
13004,10,404,5472,5,5,5,555,Champions
13005,172,26,498,2,2,3,223,Hibernating
13006,55,4,79,3,1,1,311,About to Sleep
13008,322,14,222,1,1,1,111,Hibernating
13011,371,3,49,1,1,1,111,Hibernating
13012,8,88,1606,5,4,4,544,Champions
13013,0,219,4712,5,5,5,555,Champions
13014,9,109,3413,5,4,5,545,Champions
13015,52,175,3266,3,5,5,355,Loyal Customers
13016,72,47,766,2,3,3,233,At Risk
13017,6,1,204,5,1,1,511,New Customers
13018,15,458,7081,4,5,5,455,Loyal Customers
13021,3,131,2552,5,5,5,555,Champions
13023,63,40,668,3,3,3,333,Need Attention
13026,0,40,964,5,3,4,534,Potential Loyalists
13027,112,26,6912,2,2,5,225,Hibernating
13028,21,45,645,4,3,3,433,Potential Loyalists
13029,29,10,1244,4,1,4,414,Promising
13030,10,92,706,5,4,3,543,Champions
13032,51,71,968,3,4,4,344,Loyal Customers
13033,356,11,185,1,1,1,111,Hibernating
13034,53,37,627,3,3,3,333,Need Attention
13035,72,27,913,2,2,4,224,Hibernating
13037,137,48,851,2,3,3,233,At Risk
13038,79,28,897,2,2,3,223,Hibernating
13040,7,43,657,5,3,3,533,Potential Loyalists
13043,272,13,511,1,1,3,113,Hibernating
13044,290,33,544,1,3,3,133,At Risk
13045,98,18,298,2,2,2,222,Hibernating
13046,29,35,612,4,3,3,433,Potential Loyalists
13047,30,172,3139,4,5,5,455,Loyal Customers
13048,13,135,1749,4,5,4,454,Loyal Customers
13049,63,14,651,3,1,3,313,About to Sleep
13050,13,403,5635,4,5,5,455,Loyal Customers
13052,211,18,336,1,2,2,122,Hibernating
13055,77,76,1176,2,4,4,244,At Risk
13058,23,8,266,4,1,2,412,Promising
13059,248,8,178,1,1,1,111,Hibernating
13060,252,15,300,1,2,2,122,Hibernating
13061,71,10,243,2,1,2,212,Hibernating
13062,190,11,342,1,1,2,112,Hibernating
13064,11,68,1066,5,4,4,544,Champions
13065,372,14,197,1,1,1,111,Hibernating
13066,23,48,443,4,3,2,432,Potential Loyalists
13067,81,15,106,2,2,1,221,Hibernating
13068,9,2,344,5,1,2,512,New Customers
13069,-1,424,4238,5,5,5,555,Champions
13070,191,9,222,1,1,1,111,Hibernating
13072,265,7,173,1,1,1,111,Hibernating
13075,128,22,912,2,2,4,224,Hibernating
13077,0,111,667,5,4,3,543,Champions
13078,2,358,12514,5,5,5,555,Champions
13079,3,6,217,5,1,1,511,New Customers
13080,178,6,55,2,1,1,211,Hibernating
13081,10,1024,27932,5,5,5,555,Champions
13082,125,73,3588,2,4,5,245,At Risk
13083,3,18,300,5,2,2,522,Potential Loyalists
13085,156,22,405,2,2,2,222,Hibernating
13089,1,1814,58019,5,5,5,555,Champions
13090,7,155,8846,5,5,5,555,Champions
13091,27,21,335,4,2,2,422,Potential Loyalists
13092,69,25,462,3,2,2,322,About to Sleep
13093,274,159,7779,1,5,5,155,Can't Loose
13094,20,24,1920,4,2,4,424,Potential Loyalists
13095,69,6,72,3,1,1,311,About to Sleep
13097,31,421,5791,4,5,5,455,Loyal Customers
13098,0,572,28664,5,5,5,555,Champions
13099,98,1,207,2,1,1,211,Hibernating
13101,233,8,95,1,1,1,111,Hibernating
13102,0,304,6303,5,5,5,555,Champions
13103,38,8,242,3,1,2,312,About to Sleep
13104,2,20,1089,5,2,4,524,Potential Loyalists
13106,132,1,76,2,1,1,211,Hibernating
13107,43,58,1511,3,4,4,344,Loyal Customers
13108,371,10,345,1,1,2,112,Hibernating
13109,58,47,766,3,3,3,333,Need Attention
13110,30,145,1398,4,5,4,454,Loyal Customers
13113,-1,200,12148,5,5,5,555,Champions
13115,10,120,2248,5,4,5,545,Champions
